phase_id;from;to;shortest_green
1;128528577;-182564#0,317209212;8
1;127375467;317245904#1,-182723;8
2;128528577;-182564#0,317209212;12
2;619973576;-182564#0,317209212;12
2;-182564#0;619973576,128528577;12
2;317209212;619973576,128528577;12
2;317245904#1;177513122,127375467;12
2;-182723;177513122,127375467;12
2;177513122;-182723,317245904#1;12
2;127375467;-182723,317245904#1;12
3;-182564#0;619973576,128528577;8
3;317209212;619973576,128528577;8
3;-182564#0;127375467,177513122;8
3;317209212;127375467,177513122;8
3;317245904#1;127375467,177513122;8
3;-182723;127375467,177513122;8
3;317245904#1;128528577,619973576;8
3;-182723;128528577,619973576;8
4;619973576;317245904#1,-182723;12
4;128528577;317245904#1,-182723;12
4;-182723;128528577,619973576;12
4;317245904#1;128528577,619973576;12
4;177513122;-182564#0,-182564#0;12
4;127375467;-182564#0,-182564#0;12
4;-182564#0;127375467,177513122;12
4;317209212;127375467,177513122;12
5;619973576;-182564#0,317209212;12
5;128528577;-182564#0,317209212;12
5;-182564#0;619973576,128528577;12
5;317209212;619973576,128528577;12
5;177513122;317209212,-182564#0;8
5;127375467;317209212,-182564#0;8
5;127375467;-182723,317245904#1;8
5;177513122;-182723,317245904#1;8
5;-182723;128528577,619973576;8
5;317245904#1;128528577,619973576;8
6;-182564#0;127375467,177513122;8
6;317209212;127375467,177513122;8
6;127375467;-182723,317245904#1;12
6;177513122;-182723,317245904#1;12
6;317245904#1;127375467,177513122;12
6;-182723;127375467,177513122;12
6;128528577;317245904#1,-182723;8
6;619973576;317245904#1,-182723;8
7;128528577;-182564#0,317209212;8
7;619973576;-182564#0,317209212;8
7;-182723;127375467,177513122;12
7;-317209212;127375467,177513122;12
7;127375467;-182564#0,317209212;12
7;177513122;-182564#0,317209212;12
7;-182723;177513122,127375467;8
7;317245904#1;177513122,127375467;8
7;317245904#1;128528577,619973576;8
7;-182723;128528577,619973576;8
8;619973576;317245904#1,-182723;12
8;128528577;317245904#1,-182723;12
8;317245904#1;128528577,619973576;12
8;-182723;619973576,128528577;12
8;127375467;-182723,317245904#1;8
8;177513122;-182723,317245904#1;8
8;317209212;127375467,177513122;12
8;-182564#0;127375467,177513122;12
8;317209212;619973576,128528577;8
8;-182564#0;619973576,128528577;8
