phase_id;from;state
0;0;rrrrrrrrrrrrrrrrrrrrrrrrrrrrr
0;1;rrrrrrrrYYyrrrrrrrrYyYrrrYrrr
0;2;rrrrrrYYrrrrrrryYYYrrYYrrYYrr
0;3;rrrYYyrrrrrrrYyrrrrrrrYYrrYYr
0;4;yYYrrrrrrrrYYrrrrrrrrrrYYrrYY
0;5;rrrrrrYYYYyrrrrrrrrrrYYrYYrYr
0;6;rrrrrrrrrrrrrrryYYYYyrrYrYYrY
0;7;rrrrrrrrrrrYYYyrrrrrrYrYYrYYr
0;8;yYYYyrrrrrrrrrrrrrrrrYYrYrYY
1;0;rrrrrrrrYYyrrrrrrrrYyYrrrYrrr
1;1;rrrrrrrrGGgrrrrrrrrGgGrrrGrrr
1;2;rrrrrrYYrrrrrrryYYYrrGYrrGYrr,rrrrrrrrYYyrrrrrrrrYyGrrrGrrr
1;3;rrrYYyrrrrrrrYyrrrrrrrYYrrYYr,rrrrrrrrYYyrrrrrrrrYyYrrrYrrr
1;4;yYYrrrrrrrrYYrrrrrrrrrrYYrrYY,rrrrrrrrYYyrrrrrrrrYyYrrrYrrr
1;5;rrrrrrYYGGgrrrrrrrrrrGYrYGrYr,rrrrrrrrGGgrrrrrrrrYyGrrrGrrr
1;6;rrrrrrrrrrrrrrryYYYGgrrYrGYrY,rrrrrrrrYYyrrrrrrrrGgYrrrGrrr
1;7;rrrrrrrrrrrYYYyrrrrrrGrYYrYYr,rrrrrrrrYYyrrrrrrrrYyGrrrYrrr
1;8;gYYYYyrrrrrrrrrrrrrrrrYYrGrYY,rrrrrrrrYYyrrrrrrrrYyYrrrGrrr
2;0;rrrrrrYYrrrrrrryYYYrrYYrrYYrr
2;1;rrrrrrrrYYyrrrrrrrrYyGrrrGrrr,rrrrrrYYrrrrrrryYYYrrGYrrGYrr
2;2;rrrrrrGGrrrrrrrgGGGrrGGrrGGrr
2;3;rrrYYyrrrrrrrYyrrrrrrrGYrrGYr,rrrrrrYYrrrrrrryYYYrrYGrrYGrr
2;4;yYYrrrrrrrrYYrrrrrrrrrrYYrrYY,rrrrrrYYrrrrrrryYYYrrYYrrYYrr
2;5;rrrrrrGGYYyrrrrrrrrrrGGrYGrYr,rrrrrrGGrrrrrrryYYYrrGGrrGYrr
2;6;rrrrrrrrrrrrrrryGGGYyrrYrGGrY,rrrrrrYYrrrrrrryGGGrrYYrrGGrr
2;7;rrrrrrrrrrrYYYyrrrrrrGrYYrGYr,rrrrrrYYrrrrrrryYYYrrGYrrYGrr
2;8;yYYYYyrrrrrrrrrrrrrrrrGYrGrYY,rrrrrrYYrrrrrrryYYYrrYGrrGYrr
3;0;rrrYYyrrrrrrrYyrrrrrrrYYrrYYr
3;1;rrrrrrrrYYyrrrrrrrrYyYrrrYrrr,rrrYYyrrrrrrrYyrrrrrrrYYrrYYr
