route_id;origin;destination;demand_per_sec
rocca-airport;317217122#0;177513127#0;0.0271111
rocca-centre;317217122#0;-182653;0.0041944
rocca-tty;317217122#0;-182723;0.0013889
rocca-rocca;317217122#0;317209213;0.0002778
airport-rocca;-183577;317209213;0.0267222
airport-centre;-183577;-182653;0.0058333
airport-tty;-183577;-182723;0.0127778
airport-airport;-183577;177513127#0;0.0002778
tty-centre;-182707;-182653;0.02775
tty-rocca;-182707;317209213;0.0020556
tty-airport;-182707;177513127#0;0.0135
tty-tty;-182707;-182723;0.0002778
centre-tty;-182559;-182723;0.0184722
centre-rocca;-182559;317209213;0.0024167
centre-airport;-182559;177513127#0;0.0090278
centre-centre;-182559;-182653;0.0002778
