route_id;origin;destination;demand_per_sec
rocca-airport;317217122#0;177513127#0;0.096667
rocca-centre;317217122#0;-182653;0.016111
rocca-tty;317217122#0;-182723;0.008333
rocca-rocca;317217122#0;317209213;0.001389
airport-rocca;-183577;317209213;0.116944
airport-centre;-183577;-182653;0.020833
airport-tty;-183577;-182723;0.06
airport-airport;-183577;177513127#0;0.001389
tty-centre;-182707;-182653;0.063056
tty-rocca;-182707;317209213;0.020556
tty-airport;-182707;177513127#0;0.050278
tty-tty;-182707;-182723;0.001389
centre-tty;-182559;-182723;0.076667
centre-rocca;-182559;317209213;0.017778
centre-airport;-182559;177513127#0;0.031389
centre-centre;-182559;-182653;0.001389
